id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
11269581,2.25,1.95,1.51,4.09,0.63,3.2
11274752,1.25,0.72,0.44,2.8,1.25,3.57
11290289,1.85,0.48,0.46,2.63,1.52,3.15
11292987,0.27,1.27,1.35,2.37,2.17,4.59
11295154,1.14,0.4,0.83,1.91,2.08,4.01
11298610,1.73,1.06,0.6,3.27,0.74,3.14
11300962,1.4,1.56,2.0,0.82,3.23,5.1
11313478,3.78,4.82,5.17,3.16,6.21,8.44
11314335,2.45,1.06,1.13,2.77,1.94,2.89
11315455,1.13,0.61,1.05,1.69,2.3,4.2
11489087,3.39,3.27,2.83,5.37,1.71,3.55
11491001,1.71,1.71,1.34,3.67,1.04,3.68
11495378,3.4,2.18,2.44,2.7,3.34,3.63
11496602,1.79,1.97,1.62,3.84,1.27,3.9
11509160,2.9,2.25,1.78,4.51,0.51,2.44
11524615,0.84,1.47,1.83,1.34,2.97,5.08
11541309,1.42,1.71,1.42,3.48,1.39,4.02
11547762,2.61,2.47,2.04,4.56,1.06,3.4
11321112,1.92,1.75,1.34,3.81,0.81,3.44
11321865,3.07,1.84,1.53,3.95,1.3,1.78
11323289,2.4,1.87,1.4,4.09,0.26,2.83
11328829,3.33,1.94,1.95,3.4,2.45,2.46
11334487,1.47,1.12,0.75,3.2,0.96,3.47
11337013,2.35,1.32,0.89,3.58,0.66,2.47
11337442,1.43,2.11,2.5,0.99,3.66,5.72
11337778,2.4,1.36,0.93,3.61,0.67,2.43
11341008,3.32,2.05,1.78,4.09,1.57,1.58
11348395,4.45,3.1,2.92,4.86,2.74,1.18
11550809,3.22,2.21,1.8,4.45,0.94,1.7
11566581,2.43,1.92,1.46,4.13,0.32,2.86
11568230,2.59,2.09,1.62,4.3,0.41,2.79
11570056,1.4,0.01,0.48,2.26,1.75,3.61
11571334,0.69,1.51,1.44,2.84,1.97,4.52
11584728,2.84,1.81,1.4,4.06,0.71,2.02
11585583,4.37,3.04,2.83,4.87,2.59,1.04
11598363,2.22,2.14,1.72,4.18,0.97,3.52
11618889,1.38,1.03,0.68,3.09,1.05,3.53
11620815,2.13,1.91,1.48,4.01,0.73,3.33
11630284,2.87,3.98,3.84,4.87,3.79,6.38
11648362,1.16,0.47,0.91,1.82,2.17,4.07
11649350,1.71,2.01,2.45,0.49,3.69,5.54
11664174,2.24,1.21,1.61,1.75,2.79,3.96
11668230,4.25,3.16,3.46,3.04,4.4,4.44
11675830,2.02,3.4,3.55,3.15,4.22,6.76
11684141,1.48,1.23,0.87,3.27,0.97,3.54
11685016,2.72,3.88,3.76,4.69,3.78,6.39
11707497,1.6,0.22,0.43,2.41,1.65,3.41
11728465,2.25,2.14,1.72,4.19,0.93,3.46
11729388,3.36,4.46,4.78,2.95,5.79,8.07
11350096,2.68,2.2,1.73,4.41,0.52,2.8
11350906,0.47,1.46,1.74,1.72,2.78,5.03
11351897,2.52,1.5,1.08,3.76,0.6,2.32
11353728,1.16,2.43,2.67,2.06,3.58,5.97
11354679,2.3,1.05,1.35,2.19,2.42,3.49
11371523,4.4,3.02,2.91,4.59,2.95,1.68
11376653,2.87,1.81,1.41,4.04,0.79,1.97
11384848,2.34,1.47,1.89,1.53,3.09,4.25
11395302,2.86,2.86,2.43,4.88,1.48,3.7
11401735,2.88,1.53,1.69,2.76,2.5,3.04
11402824,1.46,0.48,0.95,1.83,2.21,3.92
11733070,3.47,2.53,2.1,4.78,1.1,1.6
11737208,3.9,2.51,2.52,3.85,2.89,2.34
11737613,1.39,1.88,1.63,3.52,1.63,4.27
11751396,3.32,2.09,1.78,4.19,1.44,1.53
11755206,1.17,1.92,1.75,3.34,1.94,4.57
11762804,1.86,1.44,1.0,3.59,0.6,3.22
11765354,1.12,1.1,1.53,1.26,2.76,4.68
11767366,3.42,2.05,1.92,3.84,2.07,1.88
11781693,1.58,1.75,1.42,3.61,1.25,3.89
11807197,1.61,1.41,1.02,3.45,0.89,3.5
11814469,1.16,0.69,1.13,1.6,2.39,4.27
11820147,1.83,1.66,1.25,3.71,0.83,3.47
11821878,2.56,3.78,3.69,4.46,3.81,6.44
11830051,2.12,0.76,0.95,2.44,1.98,3.22
11830886,2.12,0.75,0.94,2.44,1.97,3.22
11832785,1.51,0.38,0.09,2.65,1.36,3.35
11838711,2.44,1.07,0.98,3.03,1.6,2.64
11856900,0.35,1.46,1.71,1.85,2.71,5.01
11857023,3.41,4.6,4.48,5.3,4.46,7.05
11857224,1.36,0.54,1.01,1.74,2.28,4.04
11857281,2.26,3.36,3.23,4.3,3.25,5.88
11857408,0.46,1.44,1.71,1.73,2.75,5.01
11862028,1.07,1.54,1.35,3.16,1.62,4.22
11869596,2.65,3.8,3.69,4.62,3.71,6.33
11879723,1.96,1.84,1.43,3.88,0.87,3.49
11407794,2.05,0.91,1.29,1.92,2.46,3.74
12528102,2.86,2.14,1.67,4.4,0.43,2.34
12531069,1.53,0.66,0.22,2.89,1.1,3.29
12556633,1.69,1.27,0.84,3.4,0.74,3.3
12567485,1.61,0.55,0.09,2.82,1.19,3.22
12583783,1.7,1.38,0.97,3.48,0.78,3.38
12584187,2.72,1.95,1.48,4.22,0.29,2.37
12587201,3.27,2.11,1.76,4.27,1.25,1.54
12598046,0.48,1.02,1.08,2.38,1.96,4.34
12598354,0.82,0.58,0.75,2.22,1.85,4.05
11882029,2.03,1.03,0.58,3.3,0.77,2.79
11884918,4.44,3.05,3.03,4.38,3.27,2.21
11885430,2.03,1.03,0.58,3.3,0.77,2.79
11890842,2.19,3.45,3.4,4.07,3.61,6.25
11923685,3.46,2.44,2.03,4.67,1.15,1.49
