id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count,dist_to_sagrada_familia,dist_to_casa_milà,dist_to_casa_batlló,dist_to_parc_güell,dist_to_la_rambla,dist_to_montjuïc
45401363,41.38371,2.18294,530,67,0,23,1,2.3235650313754475,2.177521194336012,1.7476521363295516,4.2524943669045925,0.8965352929870335,3.402880133991849
45416321,41.3709,2.15942,192,18,0,3,1,3.8448403835780005,2.7210341994101057,2.3576125829891703,4.880399455858802,1.6309861077767074,1.0108986936885571
45430518,41.4045,2.21711,41,6,0,0,0,3.5635624123278427,4.7172527868267915,4.581573182480707,5.485442174411927,4.496541698078473,7.071735933420146
45434450,41.39661,2.12567,61,4,0,0,0,4.138141489987086,3.0255881795707786,3.317643277291993,3.006538503137067,4.239577444584024,4.286316061655261
45444900,41.375347,2.167266,410,75,0,10,1,3.197463457241015,2.2633861115961738,1.829053419571978,4.519982943397943,0.8399853980694837,1.8129496495075683
45447514,41.37846,2.16419,531,107,0,9,3,2.9223128134099294,1.8822429736115378,1.4734119570526882,4.120477919124378,0.7865413882018275,1.931660131829893
45948029,41.39039,2.16089,667,110,0,7,1,1.8513590060803726,0.5524295852223458,0.3648537317060849,2.76656628971038,1.3603260652601876,3.0658854356146534
45948069,41.39039,2.16089,667,110,0,7,1,1.8513590060803726,0.5524295852223458,0.3648537317060849,2.76656628971038,1.3603260652601876,3.0658854356146534
45955324,41.40683,2.15432,332,10,0,1,0,1.7127890928176503,1.4294869567268824,1.899778253088872,0.8634991471962616,3.169546420746616,4.810209372664651
45450661,41.39545,2.16181,692,74,0,6,0,1.3870916155229236,0.018290888881512608,0.4902165439015072,2.2504057513350886,1.7604104390535826,3.631188920283962
45451588,41.4095,2.14717,126,11,0,1,0,2.363848133190293,2.000626302479924,2.4707117645484797,0.7223434772453069,3.7351403887496315,5.1210688701263765
45452839,41.37925,2.17356,605,118,0,21,3,2.708503046851465,2.0325572806131307,1.5615619507504706,4.288470674751443,0.2970193435066208,2.4910260829399076
45463047,41.40514,2.18508,310,10,0,3,0,0.9070539887886977,2.2215379993067135,2.250923746398978,2.8939902319633837,2.7994172089645,5.372176423361719
45463833,41.40758,2.18563,285,7,0,2,0,1.0358910735649824,2.404560872037497,2.471364291019159,2.851941281884699,3.0687104888639487,5.629731816046555
45477228,41.3798,2.16961,624,133,0,19,3,2.676434803744415,1.8396293273424735,1.3803305107825927,4.108193657204268,0.3280198408760198,2.3141834293311314
45489180,41.39726,2.15962,706,59,0,5,0,1.4201102585293752,0.2892543398762677,0.7590836287612052,2.00199294384848,2.0272421373117044,3.7936747318776978
45489409,41.39853,2.1593,650,54,0,3,0,1.379867257908676,0.41955847511896066,0.8916195381878093,1.8591370863504906,2.1617666506036888,3.9289519280842553
45489429,41.39091,2.1677,633,126,0,14,2,1.5177041841598222,0.6872909863127321,0.24954744476069626,2.906163050018734,1.0892641750723442,3.300656833976417
45489465,41.39862,2.15753,626,54,0,3,0,1.5121206041382789,0.5188002252169008,0.9848962082357942,1.8111402309359106,2.248900501079939,3.919356069628011
45956784,41.38134,2.17825,605,100,0,27,2,2.4959475615037103,2.066398803393645,1.6023302693777643,4.258808148872489,0.4824542174196376,2.9353313106538073
45964571,41.38592,2.17848,608,121,0,27,2,1.9951675777376048,1.7323017664243994,1.3024960181021894,3.8370578973947347,0.6773366375378865,3.3118235752864607
45966793,41.40854,2.18539,280,7,0,0,0,1.068570141759821,2.4507005919469593,2.5351827050352984,2.805539176770322,3.1617896215180474,5.712962552585345
45967884,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45967918,41.38776,2.1622,646,121,0,11,1,2.034180522451201,0.8387831636279713,0.4926165666440221,3.0771204383159874,1.0851785127844897,2.8130654363621055
45969373,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45489522,41.39902,2.15918,624,52,0,3,0,1.3677968845358226,0.4717810410000422,0.9434847266876474,1.804142672643228,2.213833521754527,3.9813459655551298
45489617,41.39856,2.1593,646,54,0,3,0,1.3785074615327657,0.422417594123237,0.894462588922831,1.8559510258546017,2.164637825595701,3.9322496542855037
45490049,41.39897,2.15933,628,53,0,3,0,1.3582913934671224,0.46096412269524867,0.9323950305903302,1.8132236346461483,2.2027590920401154,3.977698507324001
45492609,41.38223,2.17175,700,146,0,26,3,2.386495678492413,1.6695358008871533,1.1980870977501732,3.92434020771055,0.078750437318665,2.6367708092138873
45502247,41.39182,2.15539,624,66,0,7,0,2.0567131507086778,0.6668080164127433,0.7934280380976038,2.5318611488521716,1.810767959247769,3.149188890746496
45510310,41.38144,2.15935,544,73,0,7,2,2.765470194848094,1.555774187199342,1.231236177896741,3.717716653998781,1.097862543845258,2.0714956717199287
45524790,41.39899,2.20433,150,5,0,1,0,2.548454589522748,3.562884903615568,3.3874530145818786,4.638474522679202,3.271719910112627,5.865360401024309
45526716,41.38281,2.17473,658,137,0,28,2,2.311906415867125,1.7533970693655303,1.2844014265410286,3.9740967955976556,0.21732019241936248,2.845525035721073
45537153,41.39726,2.16259,687,62,0,6,0,1.211326248172934,0.22541370814370734,0.6475761442628757,2.0869224360976406,1.9075288646075412,3.8418985106773205
45537946,41.39652,2.16449,664,73,0,6,0,1.1414944113391932,0.2551020766091398,0.5370496407521979,2.22800922945953,1.7679335539576795,3.8014454247021243
45541954,41.38879,2.1759,638,127,0,24,2,1.6515432055646149,1.3740100850787078,0.97301087798349,3.4521296012221323,0.8273938910830947,3.428721859228409
45969424,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45969484,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45969601,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45969674,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45969756,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45969832,41.39116,2.17114,584,116,0,17,2,1.4097389005363272,0.8977827258487265,0.5239896859590271,3.016774884886741,1.0469505227812093,3.4480036723735443
45558244,41.39894,2.17115,508,57,0,4,0,0.5847894783483855,0.8712818184553688,0.9591162218715727,2.3154380676271065,1.9092054399618763,4.235763487244618
45571038,41.37605,2.12712,145,7,0,1,0,4.99410109887778,3.6056852298857596,3.6004344270228494,4.778315547693696,3.8399108307485608,2.509292896168277
45576362,41.37971,2.16506,574,120,0,14,3,2.7683500884972227,1.7534591109375826,1.333293990553524,4.003496245797257,0.6628203389093615,2.0881769030762514
45586537,41.38491,2.18419,481,55,0,22,1,2.2329256635981807,2.1891420844576754,1.777554477275864,4.2100529156535575,1.0347899928612658,3.56931006247043
